id,conversation_id,customer_message,context,intent,escalation_expected,escalation_reason,reference_response,difficulty,annotator_notes
golden_0010,conv_1002655,Trying to downgrade my plan but the app won't let me,,subscription_cancel,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",Sorry to see you go! Go to Settings > Subscription to cancel or downgrade. DM us if the option isn't showing.,easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0011,conv_1002658,"You charged me after I cancelled last week, this isn't right",,billing_overcharge,True,Intent 'billing_overcharge' is in the sensitive-intent list requiring escalation.,"Apologies for the confusion, could you send your order ID via DM so we can look into the duplicate charge?",easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0012,conv_1002660,"You charged me after I cancelled last week, this isn't right",,billing_overcharge,True,Intent 'billing_overcharge' is in the sensitive-intent list requiring escalation.,"Apologies for the confusion, could you send your order ID via DM so we can look into the duplicate charge?",easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0013,conv_1002662,"Video keeps buffering even on good wifi, so annoying",,playback_buffering,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",We'd suggest checking your connection speed and restarting the app. DM us if the buffering persists after that.,easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0014,conv_1002664,Quality drops to 240p randomly during playback on on the web app,,playback_buffering,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.","Sorry for the disruption! Try lowering the streaming quality in Settings, or restart your router. Let us know if it continues.",easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0015,conv_1002666,Trying to downgrade my plan but the app won't let me,,subscription_cancel,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",You can cancel anytime from Account > Subscription > Cancel Plan. Let us know if you run into any issues!,easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0016,conv_1002668,"Paid for premium but still seeing ads, what's going on",,payment_failed,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",We can look into that -- please DM your account email and the last 4 digits of the card used so we can check the transaction.,hard,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0017,conv_1002670,App crashes whenever a video starts playing on,,app_crash,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",Sorry about that! Please make sure the app is updated to the latest version and try reinstalling. Let us know if the crash continues.,hard,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0018,conv_1002672,App crashes whenever a video starts playing on,,app_crash,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",Sorry about that! Please make sure the app is updated to the latest version and try reinstalling. Let us know if the crash continues.,hard,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0019,conv_1002674,"This is unacceptable, I'm requesting a full refund for several months",,refund_request,True,Intent 'refund_request' is in the sensitive-intent list requiring escalation.,We're sorry to hear that. Please DM your account email and order ID so our billing team can review your refund eligibility.,easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0020,conv_1002676,"Video keeps buffering even on good wifi, so annoying",,playback_buffering,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.","Sorry for the disruption! Try lowering the streaming quality in Settings, or restart your router. Let us know if it continues.",easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0021,conv_1002678,"This is unacceptable, I'm requesting a full refund for several months",Ok will try that.,refund_request,True,Intent 'refund_request' is in the sensitive-intent list requiring escalation.,"Understood, we'll need to verify your account first -- DM us your email and we'll get this looked at.",medium,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0022,conv_1002681,"It freezes on the loading screen, had to force close 4 times",Ok will try that.,app_crash,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",That's not expected -- could you tell us your device model and app version so we can dig into this?,medium,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0023,conv_1002684,"Your app won't let me sign in, keeps saying invalid credentials on my iPhone",,login_issue,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",Sorry about that! Please try updating to the latest app version and logging in again. If it persists DM us your email so we can check your account.,easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0024,conv_1002686,"Can I get my money back, I never used it after signing up",,refund_request,True,Intent 'refund_request' is in the sensitive-intent list requiring escalation.,We're sorry to hear that. Please DM your account email and order ID so our billing team can review your refund eligibility.,easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0025,conv_1002688,The movie I was watching just disappeared from my list,,content_unavailable,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",Content availability varies by region due to licensing. We appreciate the feedback and will share it with the content team.,easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0026,conv_1002690,Quality drops to 240p randomly during playback on on Android,,playback_buffering,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",We'd suggest checking your connection speed and restarting the app. DM us if the buffering persists after that.,easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0027,conv_1002692,"Please cancel my plan, I don't want to be charged again",,subscription_cancel,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",Sorry to see you go! Go to Settings > Subscription to cancel or downgrade. DM us if the option isn't showing.,easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0028,conv_1002694,"Someone is using my account, I see devices I don't recognize logged in",DMed you now.,account_security,True,Intent 'account_security' is in the sensitive-intent list requiring escalation.,We take this seriously. Please DM your account email immediately and avoid using the account until we confirm it's secure.,medium,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0029,conv_1002697,"I was billed twice for the same month, please fix this",DMed you now.,billing_overcharge,True,Intent 'billing_overcharge' is in the sensitive-intent list requiring escalation.,"Apologies for the confusion, could you send your order ID via DM so we can look into the duplicate charge?",medium,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0030,conv_1002700,"Your customer support never responds, this is ridiculous",,general_complaint,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",That's not the experience we want for you. Please DM us details so we can make it right.,easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0031,conv_1002702,Trying to downgrade my plan but the app won't let me,"Thanks, that worked!",subscription_cancel,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",Sorry to see you go! Go to Settings > Subscription to cancel or downgrade. DM us if the option isn't showing.,medium,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0032,conv_1002705,"I was billed twice for the same month, please fix this",,billing_overcharge,True,Intent 'billing_overcharge' is in the sensitive-intent list requiring escalation.,That shouldn't happen -- please DM your account email and the charge date so our billing team can review and correct it.,easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0033,conv_1002707,The movie I was watching just disappeared from my list,,content_unavailable,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",Licensing agreements sometimes change and titles can be removed on short notice -- sorry for the inconvenience! We'll pass this along.,easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0034,conv_1002709,"Charged the annual price when I signed up for monthly, 3 dollars extra",Ok will try that.,billing_overcharge,True,Intent 'billing_overcharge' is in the sensitive-intent list requiring escalation.,That shouldn't happen -- please DM your account email and the charge date so our billing team can review and correct it.,hard,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0035,conv_1002712,My card was charged but my subscription still shows as inactive 5 hours later,,payment_failed,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",We can look into that -- please DM your account email and the last 4 digits of the card used so we can check the transaction.,easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0036,conv_1002714,"Just wanted to say the new app update is great, thanks!",,positive_feedback,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.","That means a lot, thanks for being a subscriber!",easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0037,conv_1002716,"Charged the annual price when I signed up for monthly, several dollars extra",,billing_overcharge,True,Intent 'billing_overcharge' is in the sensitive-intent list requiring escalation.,That shouldn't happen -- please DM your account email and the charge date so our billing team can review and correct it.,hard,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0038,conv_1002718,App crashes whenever a video starts playing on on my iPhone,,app_crash,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",That's not expected -- could you tell us your device model and app version so we can dig into this?,hard,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0039,conv_1002720,"Loving the new recommendations feature, keep it up",,positive_feedback,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.","That means a lot, thanks for being a subscriber!",easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0040,conv_1002723,"Someone is using my account, I see devices I don't recognize logged in",,account_security,True,Intent 'account_security' is in the sensitive-intent list requiring escalation.,This needs immediate attention -- please DM us right away so our security team can lock down your account.,easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0041,conv_1002725,"Please cancel my plan, I don't want to be charged again","Thanks, that worked!",subscription_cancel,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",You can cancel anytime from Account > Subscription > Cancel Plan. Let us know if you run into any issues!,medium,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0042,conv_1002728,"Why was this show removed, I was in the middle of it",,content_unavailable,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",Licensing agreements sometimes change and titles can be removed on short notice -- sorry for the inconvenience! We'll pass this along.,easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0043,conv_1002730,My card was charged but my subscription still shows as inactive 5 hours later,,payment_failed,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",We can look into that -- please DM your account email and the last 4 digits of the card used so we can check the transaction.,easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0044,conv_1002732,Quality drops to 240p randomly during playback on on my smart TV,"Thanks, that worked!",playback_buffering,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",We'd suggest checking your connection speed and restarting the app. DM us if the buffering persists after that.,medium,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0045,conv_1002735,"How do I change my password on the app, can't find the option on my iPad",,password_reset,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.","Please try the 'Forgot password' link again; if it keeps expiring, send us a DM with your account email and we'll help directly.",hard,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0046,conv_1002737,"My email was changed without my permission, please help",,account_security,True,Intent 'account_security' is in the sensitive-intent list requiring escalation.,This needs immediate attention -- please DM us right away so our security team can lock down your account.,easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0047,conv_1002739,"Worst service I've ever used, so disappointed",DMed you now.,general_complaint,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",That's not the experience we want for you. Please DM us details so we can make it right.,medium,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0048,conv_1002742,"Customer support just helped me out super fast, appreciated",Still not working for me.,positive_feedback,True,Multiple unresolved customer turns (follow-up indicates issue persists).,"Thank you so much for the kind words, we really appreciate it!",medium,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0049,conv_1002745,Audio and video are out of sync for the last 4 days,Still not working for me.,playback_buffering,True,Multiple unresolved customer turns (follow-up indicates issue persists).,We'd suggest checking your connection speed and restarting the app. DM us if the buffering persists after that.,medium,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0050,conv_1002748,"Why was this show removed, I was in the middle of it",,content_unavailable,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",Content availability varies by region due to licensing. We appreciate the feedback and will share it with the content team.,easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0051,conv_1002750,My card was charged but my subscription still shows as inactive 2 hours later,,payment_failed,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.","Sorry for the trouble! Payments can take up to 30 minutes to reflect. If it's still inactive after that, DM us your order number.",easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0052,conv_1002753,"Just wanted to say the new app update is great, thanks!",,positive_feedback,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.","That means a lot, thanks for being a subscriber!",easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0053,conv_1002755,"Please add profiles for kids, would make this so much better",Still not working for me.,feature_request,True,Multiple unresolved customer turns (follow-up indicates issue persists).,"Great idea, we've logged this as feedback for our roadmap team!",medium,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0054,conv_1002758,"Your app won't let me sign in, keeps saying invalid credentials on my iPhone",Ok will try that.,login_issue,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",That sounds frustrating. Could you try clearing the app cache and logging in again? Let us know if it keeps happening.,medium,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0055,conv_1002761,Reset link says expired every single time on my smart TV,,password_reset,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.","Please try the 'Forgot password' link again; if it keeps expiring, send us a DM with your account email and we'll help directly.",easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0056,conv_1002763,Trying to downgrade my plan but the app won't let me,,subscription_cancel,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",You can cancel anytime from Account > Subscription > Cancel Plan. Let us know if you run into any issues!,easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0057,conv_1002766,"Please add profiles for kids, would make this so much better",,feature_request,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.","Great idea, we've logged this as feedback for our roadmap team!",easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0058,conv_1002768,"My email was changed without my permission, please help",,account_security,True,Intent 'account_security' is in the sensitive-intent list requiring escalation.,We take this seriously. Please DM your account email immediately and avoid using the account until we confirm it's secure.,easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0059,conv_1002770,"I want a refund for this month, the service didn't work at all",,refund_request,True,Intent 'refund_request' is in the sensitive-intent list requiring escalation.,"Understood, we'll need to verify your account first -- DM us your email and we'll get this looked at.",easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0060,conv_1002772,Quality drops to 240p randomly during playback on,"Thanks, that worked!",playback_buffering,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.","Sorry for the disruption! Try lowering the streaming quality in Settings, or restart your router. Let us know if it continues.",medium,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0061,conv_1002775,"Can't log in at all today, just spinning forever on Android",Still not working for me.,login_issue,True,Multiple unresolved customer turns (follow-up indicates issue persists).,Sorry about that! Please try updating to the latest app version and logging in again. If it persists DM us your email so we can check your account.,medium,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0062,conv_1002778,"The password reset email never arrives, checked spam too on my iPad",,password_reset,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.","You can request a new reset link from the login screen -- it can take up to 10 minutes to arrive. If it still doesn't show up, DM us the email on file.",easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0063,conv_1002780,"Someone is using my account, I see devices I don't recognize logged in",,account_security,True,Intent 'account_security' is in the sensitive-intent list requiring escalation.,This needs immediate attention -- please DM us right away so our security team can lock down your account.,easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0064,conv_1002782,Would love a dark mode option in the app,,feature_request,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.","Great idea, we've logged this as feedback for our roadmap team!",easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0065,conv_1002784,"You charged me after I cancelled last week, this isn't right",,billing_overcharge,True,Intent 'billing_overcharge' is in the sensitive-intent list requiring escalation.,"Apologies for the confusion, could you send your order ID via DM so we can look into the duplicate charge?",easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0066,conv_1002786,Audio and video are out of sync for the last 2 days,Still not working for me.,playback_buffering,True,Multiple unresolved customer turns (follow-up indicates issue persists).,"Sorry for the disruption! Try lowering the streaming quality in Settings, or restart your router. Let us know if it continues.",medium,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0067,conv_1002789,"Please cancel my plan, I don't want to be charged again",,subscription_cancel,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",Sorry to see you go! Go to Settings > Subscription to cancel or downgrade. DM us if the option isn't showing.,easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0068,conv_1002791,Reset link says expired every single time on my iPad,,password_reset,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.","You can request a new reset link from the login screen -- it can take up to 10 minutes to arrive. If it still doesn't show up, DM us the email on file.",easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0069,conv_1002793,"Why was this show removed, I was in the middle of it",,content_unavailable,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",Content availability varies by region due to licensing. We appreciate the feedback and will share it with the content team.,easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0070,conv_1002795,"Your app won't let me sign in, keeps saying invalid credentials",,login_issue,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",Sorry about that! Please try updating to the latest app version and logging in again. If it persists DM us your email so we can check your account.,easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0071,conv_1002797,The app crashes every time I try to open it on my on my iPad,,app_crash,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",Sorry about that! Please make sure the app is updated to the latest version and try reinstalling. Let us know if the crash continues.,easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0072,conv_1002799,The app crashes every time I try to open it on my on my iPad,Ok will try that.,app_crash,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",That's not expected -- could you tell us your device model and app version so we can dig into this?,medium,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0073,conv_1002802,Would love a dark mode option in the app,DMed you now.,feature_request,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.","Great idea, we've logged this as feedback for our roadmap team!",medium,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0074,conv_1002805,"Paid for premium but still seeing ads, what's going on",,payment_failed,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",We can look into that -- please DM your account email and the last 4 digits of the card used so we can check the transaction.,hard,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0075,conv_1002807,App crashes whenever a video starts playing on,,app_crash,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",Sorry about that! Please make sure the app is updated to the latest version and try reinstalling. Let us know if the crash continues.,hard,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0076,conv_1002809,"Paid for premium but still seeing ads, what's going on",,payment_failed,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.","Sorry for the trouble! Payments can take up to 30 minutes to reflect. If it's still inactive after that, DM us your order number.",hard,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0077,conv_1002811,"Please cancel my plan, I don't want to be charged again","Thanks, that worked!",subscription_cancel,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",You can cancel anytime from Account > Subscription > Cancel Plan. Let us know if you run into any issues!,medium,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0078,conv_1002814,"Charged the annual price when I signed up for monthly, 4 dollars extra","Thanks, that worked!",billing_overcharge,True,Intent 'billing_overcharge' is in the sensitive-intent list requiring escalation.,"Apologies for the confusion, could you send your order ID via DM so we can look into the duplicate charge?",hard,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0079,conv_1002817,"I was billed twice for the same month, please fix this",,billing_overcharge,True,Intent 'billing_overcharge' is in the sensitive-intent list requiring escalation.,"Apologies for the confusion, could you send your order ID via DM so we can look into the duplicate charge?",easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0080,conv_1002819,"Please add profiles for kids, would make this so much better","Thanks, that worked!",feature_request,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",Thanks for the suggestion! We'll pass this along to our product team.,medium,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0081,conv_1002822,Quality drops to 240p randomly during playback on on my iPad,,playback_buffering,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.","Sorry for the disruption! Try lowering the streaming quality in Settings, or restart your router. Let us know if it continues.",easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0082,conv_1002825,Reset link says expired every single time on my iPad,"Thanks, that worked!",password_reset,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.","You can request a new reset link from the login screen -- it can take up to 10 minutes to arrive. If it still doesn't show up, DM us the email on file.",medium,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0083,conv_1002828,"Video keeps buffering even on good wifi, so annoying",Ok will try that.,playback_buffering,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",We'd suggest checking your connection speed and restarting the app. DM us if the buffering persists after that.,medium,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0084,conv_1002831,The app crashes every time I try to open it on my on my smart TV,Still not working for me.,app_crash,True,Multiple unresolved customer turns (follow-up indicates issue persists).,Sorry about that! Please make sure the app is updated to the latest version and try reinstalling. Let us know if the crash continues.,medium,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0085,conv_1002835,"Payment keeps failing even though my card is fine, tried 5 times",,payment_failed,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.","Sorry for the trouble! Payments can take up to 30 minutes to reflect. If it's still inactive after that, DM us your order number.",easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0086,conv_1002837,Trying to downgrade my plan but the app won't let me,,subscription_cancel,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",Sorry to see you go! Go to Settings > Subscription to cancel or downgrade. DM us if the option isn't showing.,easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0087,conv_1002839,"Worst service I've ever used, so disappointed",DMed you now.,general_complaint,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",We're sorry for the delay and frustration -- DM us your account email so we can prioritize this.,medium,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0088,conv_1002842,"I want a refund for this month, the service didn't work at all",,refund_request,True,Intent 'refund_request' is in the sensitive-intent list requiring escalation.,We're sorry to hear that. Please DM your account email and order ID so our billing team can review your refund eligibility.,easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0089,conv_1002844,Trying to downgrade my plan but the app won't let me,,subscription_cancel,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",You can cancel anytime from Account > Subscription > Cancel Plan. Let us know if you run into any issues!,easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0090,conv_1002846,"Your app won't let me sign in, keeps saying invalid credentials",,login_issue,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",That sounds frustrating. Could you try clearing the app cache and logging in again? Let us know if it keeps happening.,easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0091,conv_1002848,"Login screen just loops back to itself, tried 3 times on my iPad",,login_issue,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",Sorry about that! Please try updating to the latest app version and logging in again. If it persists DM us your email so we can check your account.,easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0092,conv_1002850,Audio and video are out of sync for the last 5 days,,playback_buffering,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",We'd suggest checking your connection speed and restarting the app. DM us if the buffering persists after that.,easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0093,conv_1002853,"Video keeps buffering even on good wifi, so annoying",Still not working for me.,playback_buffering,True,Multiple unresolved customer turns (follow-up indicates issue persists).,We'd suggest checking your connection speed and restarting the app. DM us if the buffering persists after that.,medium,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0094,conv_1002856,"Please add profiles for kids, would make this so much better",,feature_request,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",Thanks for the suggestion! We'll pass this along to our product team.,easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0095,conv_1002858,Trying to downgrade my plan but the app won't let me,Ok will try that.,subscription_cancel,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.",You can cancel anytime from Account > Subscription > Cancel Plan. Let us know if you run into any issues!,medium,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0096,conv_1002861,"Can I get my money back, I never used it after signing up","Thanks, that worked!",refund_request,True,Intent 'refund_request' is in the sensitive-intent list requiring escalation.,We're sorry to hear that. Please DM your account email and order ID so our billing team can review your refund eligibility.,medium,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
golden_0097,conv_1002864,"Just wanted to say the new app update is great, thanks!",,positive_feedback,False,"No sensitive intent, keyword trigger, or unresolved follow-up detected.","Thank you so much for the kind words, we really appreciate it!",easy,auto-labeled (rule-based); see annotation_guidelines.md limitation notice
